Date,Open,High,Low,Close,Adj Close,Volume
2014-09-17,78.029999,78.180000,77.550003,77.760002,75.141258,390700
2014-09-18,78.040001,78.190002,77.650002,77.779999,75.160583,343400
2014-09-19,78.269997,78.349998,76.559998,76.769997,74.184586,1120400
2014-09-22,76.599998,76.680000,75.480003,75.870003,73.314896,781900
2014-09-23,75.570000,75.879997,75.239998,75.260002,72.725433,403700
2014-09-24,75.110001,75.800003,74.900002,75.449997,72.909050,549500
2014-09-25,75.300003,75.470001,73.919998,74.250000,71.749458,738200
2014-09-26,74.269997,74.629997,73.809998,74.599998,72.087669,918600
2014-09-29,74.129997,74.470001,73.800003,74.309998,71.807426,572400
2014-09-30,74.440002,74.989998,74.330002,74.739998,72.222961,963800
2014-10-01,74.639999,74.779999,73.110001,73.400002,70.928085,496700
2014-10-02,73.309998,73.690002,72.959999,73.360001,70.889427,465700
2014-10-03,73.720001,74.470001,73.510002,74.040001,71.546524,538300
2014-10-06,74.160004,74.529999,73.949997,74.169998,71.672142,360800
2014-10-07,73.680000,73.809998,72.620003,72.650002,70.203354,496200
2014-10-08,72.930000,73.889999,72.279999,73.820000,71.333946,455400
2014-10-09,73.830002,73.949997,72.220001,72.300003,69.865135,387700
2014-10-10,72.430000,73.059998,71.629997,71.660004,69.246681,443900
2014-10-13,71.809998,72.040001,70.599998,70.709999,68.328674,599100
2014-10-14,71.019997,71.800003,70.800003,71.220001,68.821487,502800
2014-10-15,70.279999,70.720001,69.040001,70.370003,68.000137,656700
2014-10-16,69.379997,71.949997,69.180000,71.750000,69.333649,1088200
2014-10-17,72.410004,73.099998,71.900002,72.879997,70.425591,568300
2014-10-20,72.500000,73.000000,72.459999,72.949997,70.493233,559900
2014-10-21,73.680000,74.910004,73.330002,74.739998,72.222961,744800
2014-10-22,74.570000,74.790001,73.820000,73.860001,71.372597,700900
2014-10-23,74.059998,74.550003,72.620003,72.779999,70.328957,1052500
2014-10-24,72.839996,73.959999,72.459999,73.889999,71.401581,983800
2014-10-27,73.750000,74.839996,73.489998,74.800003,72.280937,600900
2014-10-28,75.209999,75.760002,75.120003,75.760002,73.208611,424500
2014-10-29,75.580002,75.970001,74.410004,74.860001,72.338921,576800
2014-10-30,74.500000,75.889999,74.339996,75.559998,73.015343,619700
2014-10-31,76.620003,76.680000,75.370003,75.739998,73.189270,569600
2014-11-03,75.809998,76.220001,75.360001,75.949997,73.392212,524000
2014-11-04,75.860001,76.080002,75.459999,75.540001,72.996025,376400
2014-11-05,75.750000,76.599998,75.540001,76.430000,73.856049,552500
2014-11-06,76.690002,77.550003,76.449997,77.540001,74.928665,478300
2014-11-07,77.599998,77.769997,77.110001,77.769997,75.150902,491500
2014-11-10,77.669998,78.269997,77.570000,78.260002,75.624428,302500
2014-11-11,78.250000,78.650002,77.980003,78.230003,75.595406,374900
2014-11-12,78.070000,78.790001,77.879997,78.650002,76.001289,393300
2014-11-13,78.650002,78.959999,78.010002,78.330002,75.692062,405200
2014-11-14,78.419998,78.589996,77.720001,78.199997,75.566422,293500
