Date,Open,High,Low,Close,Adj Close,Volume
2014-11-26,161.929993,162.100006,161.009995,161.949997,146.884888,3966000
2014-11-28,162.750000,163.369995,161.440002,162.169998,147.084457,2405500
2014-12-01,161.639999,163.320007,161.350006,161.539993,146.513016,4168400
2014-12-02,162.470001,162.729996,161.639999,162.669998,147.537918,3465700
2014-12-03,162.470001,164.520004,162.000000,164.520004,149.215866,6429100
2014-12-04,164.009995,164.500000,163.009995,164.050003,148.789551,3859400
2014-12-05,163.610001,164.500000,162.910004,163.270004,148.082123,3013500
2014-12-08,163.289993,163.289993,161.539993,161.860001,146.803253,2851000
2014-12-09,160.839996,163.020004,160.800003,162.990005,147.828156,3861200
2014-12-10,163.009995,163.330002,160.029999,160.509995,145.578842,4072800
2014-12-11,160.820007,162.929993,160.520004,161.070007,146.086777,3989600
2014-12-12,160.250000,160.500000,155.330002,155.380005,140.926071,8611700
2014-12-15,155.929993,156.740005,152.839996,153.059998,138.821869,6500300
2014-12-16,152.029999,154.889999,150.500000,151.410004,137.325363,6782600
2014-12-17,151.520004,153.309998,151.110001,151.929993,137.796982,5131000
2014-12-18,153.580002,157.679993,153.300003,157.679993,143.012115,7302400
2014-12-19,157.490005,160.410004,157.490005,158.509995,143.764908,8864900
2014-12-22,158.330002,161.910004,158.330002,161.440002,146.422379,4682500
2014-12-23,162.229996,162.899994,161.610001,162.240005,147.147934,4043300
2014-12-24,162.880005,162.990005,161.610001,161.820007,146.766983,1868100
2014-12-26,162.270004,163.089996,162.009995,162.339996,147.238632,1912200
2014-12-29,162.000000,162.339996,159.449997,160.509995,145.578842,3331800
2014-12-30,160.020004,160.820007,159.789993,160.050003,145.161636,2829900
2014-12-31,160.410004,161.500000,160.380005,160.440002,145.515335,4011900
2015-01-02,161.309998,163.309998,161.000000,162.059998,146.984680,5525500
2015-01-05,161.270004,161.270004,159.190002,159.509995,144.671860,4880400
2015-01-06,159.669998,159.960007,155.169998,156.070007,141.551895,6146700
2015-01-07,157.199997,157.199997,154.029999,155.050003,140.626755,4701800
2015-01-08,156.240005,159.039993,155.550003,158.419998,143.683289,4236800
2015-01-09,158.419998,160.339996,157.250000,159.110001,144.309113,4484800
2015-01-12,159.000000,159.250000,155.759995,156.440002,141.887466,4182800
2015-01-13,157.259995,159.970001,155.679993,156.809998,142.223053,4377500
2015-01-14,154.860001,156.490005,153.740005,155.800003,141.307007,4690300
2015-01-15,156.690002,156.970001,154.160004,154.570007,140.191422,4248400
2015-01-16,153.820007,157.630005,153.820007,157.139999,142.522339,5756000
2015-01-20,156.699997,157.330002,154.029999,156.949997,142.350021,8017800
2015-01-21,153.029999,154.500000,151.070007,152.089996,137.942108,11897100
2015-01-22,151.940002,155.720001,151.759995,155.389999,140.935135,6120100
2015-01-23,155.029999,157.600006,154.889999,155.869995,141.370483,4812200
2015-01-26,158.259995,159.460007,155.770004,156.360001,141.814926,7888100
2015-01-27,154.940002,155.089996,152.589996,153.669998,139.375122,5659600
2015-01-28,154.000000,154.529999,151.550003,151.550003,137.452347,4495900
2015-01-29,151.380005,155.580002,149.520004,155.479996,141.016754,8320800
2015-01-30,153.910004,155.240005,153.039993,153.309998,139.048615,6563600
2015-02-02,154.000000,154.660004,151.509995,154.660004,140.273056,4712200
2015-02-03,154.750000,158.600006,154.750000,158.470001,143.728622,5536300
2015-02-04,157.210007,158.710007,156.699997,156.960007,142.359085,3678500
2015-02-05,157.289993,158.589996,157.149994,157.910004,143.220718,5253600
2015-02-06,157.339996,158.080002,156.229996,156.720001,143.138519,3225000
2015-02-09,156.000000,157.500000,155.399994,155.750000,142.252579,3057700
2015-02-10,156.740005,158.559998,155.080002,158.559998,144.819046,4440600
2015-02-11,157.759995,159.089996,157.169998,158.199997,144.490265,3626700
2015-02-12,158.720001,159.500000,158.089996,158.520004,144.782547,3333100
2015-02-13,158.779999,160.800003,158.639999,160.399994,146.499603,3706900
2015-02-17,159.750000,161.410004,159.729996,160.960007,147.011078,2894500
2015-02-18,161.860001,162.470001,160.639999,162.190002,148.134506,4353700
2015-02-19,162.050003,164.490005,161.440002,163.889999,149.687149,3504400
2015-02-20,163.639999,164.339996,162.089996,163.649994,149.467941,3353000
2015-02-23,164.229996,164.399994,162.500000,162.910004,148.792084,2714400
2015-02-24,162.490005,164.990005,161.509995,164.830002,150.545685,4047200
2015-02-25,164.940002,164.960007,162.580002,162.809998,148.700775,4004600
2015-02-26,163.740005,164.139999,159.770004,160.869995,146.928879,7110800
2015-02-27,160.869995,162.289993,160.160004,161.940002,147.906158,4410000
2015-03-02,161.940002,161.940002,159.809998,160.479996,146.572662,5917900
2015-03-03,160.270004,161.750000,160.000000,161.029999,147.074997,3234400
2015-03-04,160.539993,160.559998,158.720001,159.419998,145.604538,3630500
2015-03-05,159.860001,161.500000,159.699997,161.179993,147.212006,3791700
2015-03-06,160.190002,161.440002,158.059998,158.500000,144.764252,4540200
2015-03-09,158.199997,161.149994,158.199997,160.770004,146.837555,5193900
2015-03-10,159.600006,160.229996,157.809998,157.809998,144.134064,4593300
2015-03-11,158.570007,159.139999,155.940002,156.800003,143.211578,5709900
2015-03-12,156.270004,158.720001,156.270004,157.979996,144.289337,4567300
2015-03-13,157.460007,157.520004,153.399994,154.279999,140.909988,6064100
2015-03-16,155.050003,157.089996,154.800003,157.080002,143.467300,3749600
2015-03-17,156.199997,157.289993,155.369995,156.960007,143.357697,3311700
2015-03-18,156.850006,160.699997,155.800003,159.809998,145.960739,5729500
2015-03-19,159.699997,160.919998,158.809998,159.809998,145.960739,3878600
2015-03-20,160.949997,163.000000,160.350006,162.880005,148.764679,9006400
2015-03-23,162.770004,165.350006,162.729996,164.630005,150.363037,5924100
2015-03-24,164.789993,164.889999,162.899994,163.000000,148.874252,4346100
2015-03-25,163.080002,163.080002,159.199997,159.199997,145.403610,5428900
2015-03-26,159.270004,161.250000,158.910004,160.589996,146.673111,4396000
2015-03-27,160.789993,160.899994,159.229996,160.399994,146.499603,3439800
2015-03-30,161.309998,163.600006,161.250000,162.669998,148.572891,4138000
2015-03-31,161.080002,162.330002,160.399994,160.500000,146.590973,4255400
2015-04-01,160.229996,160.619995,158.389999,159.179993,145.385345,3687800
2015-04-02,159.520004,162.539993,158.889999,160.449997,146.545258,4671600
2015-04-06,159.690002,162.800003,158.699997,162.039993,147.997513,3465700
2015-04-07,161.669998,163.839996,161.619995,162.070007,148.024887,3148000
2015-04-08,161.720001,163.550003,161.009995,161.850006,147.823975,2524300
2015-04-09,161.699997,162.470001,160.720001,162.339996,148.271469,2263500
2015-04-10,162.339996,163.330002,161.250000,162.860001,148.746429,2515700
2015-04-13,162.369995,164.000000,162.360001,162.380005,148.308044,3868900
2015-04-14,162.419998,162.740005,160.789993,162.300003,148.234955,2716200
2015-04-15,162.630005,164.960007,162.500000,164.130005,149.906372,3498800
2015-04-16,163.309998,163.979996,162.539993,163.130005,148.993011,3136900
2015-04-17,161.750000,161.860001,160.029999,160.669998,146.746201,4314400
2015-04-20,162.100006,166.639999,161.899994,166.160004,151.760452,9323000
2015-04-21,166.070007,167.380005,164.050003,164.259995,150.025101,9683600
2015-04-22,164.389999,166.000000,162.889999,165.360001,151.029755,4024800
2015-04-23,165.229996,171.910004,165.139999,170.240005,155.486877,8235600
2015-04-24,170.229996,170.850006,168.740005,169.779999,155.066742,3888400
2015-04-27,170.889999,171.490005,170.300003,170.729996,155.934387,3168600
2015-04-28,170.830002,174.690002,170.020004,173.919998,158.847946,5816700
2015-04-29,173.399994,175.130005,172.800003,174.399994,159.286362,4518400
2015-04-30,173.770004,174.279999,170.300003,171.289993,156.445877,5062900
2015-05-01,173.199997,174.000000,172.419998,173.669998,158.619614,3312100
2015-05-04,174.470001,176.300003,173.699997,173.970001,158.893616,4028000
2015-05-05,173.509995,174.229996,171.960007,173.080002,158.080765,3593600
2015-05-06,172.899994,174.050003,168.860001,170.050003,156.488708,3612600
2015-05-07,169.630005,171.979996,169.039993,170.990005,157.353729,2472000
2015-05-08,172.940002,173.330002,172.240005,172.679993,158.908966,3092600
2015-05-11,172.649994,172.990005,170.860001,171.119995,157.473358,2661000
2015-05-12,170.550003,171.490005,168.839996,170.550003,156.948822,2962400
2015-05-13,171.240005,172.740005,170.750000,172.279999,158.540863,2457500
2015-05-14,173.500000,174.399994,173.220001,174.050003,160.169708,2439100
2015-05-15,173.910004,174.410004,172.600006,173.259995,159.442719,2916600
2015-05-18,173.440002,173.490005,172.300003,173.059998,159.258652,1923600
2015-05-19,172.970001,173.750000,171.929993,173.479996,159.645172,2523000
2015-05-20,173.330002,174.440002,172.460007,173.759995,159.902847,2300300
2015-05-21,173.320007,174.139999,173.039993,173.339996,159.516342,2295600
2015-05-22,173.039993,173.389999,172.190002,172.220001,158.485657,2849700
2015-05-26,172.110001,172.119995,169.130005,170.130005,156.562317,3854200
2015-05-27,171.160004,172.479996,170.490005,172.000000,158.283188,2764400
2015-05-28,171.449997,171.839996,170.660004,171.710007,158.016342,1731400
2015-05-29,171.350006,171.350006,169.649994,169.649994,156.120590,3996000
2015-06-01,170.210007,171.039993,169.029999,170.179993,156.608337,2985500
2015-06-02,169.660004,170.449997,168.429993,169.649994,156.120590,2571400
2015-06-03,170.500000,171.559998,169.630005,169.919998,156.369080,2131000
2015-06-04,169.529999,170.600006,167.929993,168.380005,154.951859,3079300
2015-06-05,168.250000,168.910004,167.199997,167.399994,154.050049,3100500
2015-06-08,167.169998,167.279999,165.020004,165.339996,152.154327,3757400
2015-06-09,165.339996,166.020004,163.369995,165.679993,152.467194,3395900
2015-06-10,166.490005,169.389999,166.059998,168.919998,155.448822,4680500
2015-06-11,169.259995,170.440002,168.539993,168.779999,155.320007,3464000
2015-06-12,168.229996,168.300003,166.690002,166.990005,153.672745,3065100
2015-06-15,166.990005,166.990005,164.250000,166.259995,153.000946,4245700
2015-06-16,166.330002,167.399994,165.910004,166.839996,153.534698,3249800
2015-06-17,167.000000,167.850006,166.100006,167.169998,153.838379,2863000
2015-06-18,167.050003,168.720001,167.050003,168.250000,154.832275,3330900
2015-06-19,167.619995,168.419998,166.770004,166.990005,153.672745,7074000
2015-06-22,167.649994,168.339996,167.199997,167.729996,154.353714,2335800
